Temperature,Genotype,Tree,Bud_Type,Time to break bud (BBCH 09),Time to break bud (BBCH 10)
20,Franquette,3,b,18.29166667,21
20,Franquette,4,t,NA,NA
20,Franquette,4,b,23.29166667,29
20,Franquette,5,t,20.29166667,36
20,Franquette,5,b,16.29166667,22
20,Franquette,1,t,NA,NA
20,Franquette,2,t,NA,NA
20,Franquette,3,t,NA,NA
20,Franquette,4,t,NA,NA
20,Franquette,5,t,NA,NA
25,Franquette,1,t,NA,NA
25,Franquette,1,b,11.29166667,15
25,Franquette,1,b,NA,NA
25,Franquette,2,t,23.29166667,NA
25,Franquette,2,b,11.29166667,13
25,Franquette,2,b,13.29166667,16
25,Franquette,2,b,NA,NA
25,Franquette,3,t,13.29166667,18
25,Franquette,3,b,16.29166667,23
25,Franquette,3,b,NA,NA
25,Franquette,3,b,NA,NA
25,Franquette,4,t,13.29166667,NA
25,Franquette,4,b,11.29166667,13
25,Franquette,4,b,13.29166667,NA
25,Franquette,4,b,18.29166667,NA
25,Franquette,4,b,NA,NA
25,Franquette,5,t,16.29166667,18
25,Franquette,5,b,11.29166667,15
25,Franquette,5,b,13.29166667,16
25,Franquette,1,t,18.29166667,23
25,Franquette,2,t,NA,NA
25,Franquette,3,t,NA,NA
25,Franquette,4,t,23.29166667,NA
25,Franquette,5,t,16.29166667,27
5,Lara,1,t,NA,NA
5,Lara,1,b,NA,157
5,Lara,1,b,NA,143
5,Lara,1,b,NA,NA
5,Lara,2,t,NA,NA
5,Lara,2,b,NA,191
5,Lara,2,b,NA,173
5,Lara,3,t,NA,141
5,Lara,3,b,NA,146
5,Lara,3,b,NA,157
5,Lara,4,t,NA,NA
5,Lara,4,b,NA,NA
5,Lara,4,b,NA,143
5,Lara,4,b,NA,157
5,Lara,4,b,NA,212
5,Lara,4,b,NA,233
5,Lara,5,t,NA,NA
5,Lara,5,b,NA,NA
5,Lara,5,b,NA,NA
5,Lara,1,t,NA,NA
5,Lara,2,t,NA,NA
5,Lara,3,t,NA,NA
5,Lara,4,t,NA,NA
5,Lara,5,t,NA,191
10,Lara,1,t,71.29166667,NA
10,Lara,1,b,NA,NA
10,Lara,1,b,51.29166667,NA
10,Lara,2,t,NA,NA
10,Lara,3,t,56.29166667,65
10,Lara,3,b,51.29166667,69
10,Lara,3,b,51.29166667,65
10,Lara,4,t,51.29166667,69
10,Lara,4,b,51.29166667,62
10,Lara,4,b,51.29166667,81
10,Lara,5,t,71.29166667,NA
10,Lara,5,b,51.29166667,NA
10,Lara,5,b,51.29166667,NA
10,Lara,5,b,51.29166667,NA
10,Lara,5,b,60.29166667,95
10,Lara,5,b,NA,NA
10,Lara,5,b,NA,NA
10,Lara,1,t,NA,NA
10,Lara,2,t,NA,NA
10,Lara,2,b,NA,NA
10,Lara,3,t,NA,NA
10,Lara,4,t,79.29166667,NA
10,Lara,4,b,71.29166667,96
10,Lara,5,t,NA,NA
15,Lara,1,t,23.29166667,27
15,Lara,1,b,23.29166667,27
15,Lara,1,b,20.29166667,29
15,Lara,2,t,60.29166667,NA
15,Lara,2,b,18.29166667,34
15,Lara,2,b,18.29166667,30
15,Lara,2,b,23.29166667,31
15,Lara,3,t,18.29166667,29
15,Lara,3,b,18.29166667,28
15,Lara,4,t,NA,NA
15,Lara,4,b,23.29166667,30
15,Lara,4,b,27.29166667,34
15,Lara,5,t,23.29166667,NA
15,Lara,5,b,20.29166667,30
15,Lara,5,b,23.29166667,29
15,Lara,5,b,23.29166667,30
15,Lara,5,b,27.29166667,34
15,Lara,1,t,23.29166667,26
15,Lara,1,b,18.29166667,28
15,Lara,2,t,NA,NA
15,Lara,3,t,23.29166667,27
15,Lara,3,b,23.29166667,30
15,Lara,4,t,56.29166667,63
15,Lara,5,t,20.29166667,29
20,Lara,1,t,17.29166667,19
20,Lara,1,b,13.29166667,18
20,Lara,1,b,13.29166667,17
20,Lara,2,t,NA,NA
20,Lara,2,b,18.29166667,17
20,Lara,2,b,13.29166667,19
20,Lara,3,t,16.29166667,19
20,Lara,3,b,13.29166667,18
20,Lara,3,b,18.29166667,22
20,Lara,4,t,NA,NA
20,Lara,4,b,13.29166667,16
20,Lara,4,b,16.29166667,20
20,Lara,5,t,13.29166667,22
20,Lara,5,b,13.29166667,19
20,Lara,5,b,13.29166667,18
20,Lara,5,b,13.29166667,20
20,Lara,1,t,NA,NA
20,Lara,1,b,NA,NA
20,Lara,2,t,20.29166667,23
20,Lara,2,b,13.29166667,18
20,Lara,3,t,26.29166667,30
20,Lara,4,t,17.29166667,20
20,Lara,4,b,51.29166667,NA
20,Lara,5,t,NA,NA
25,Lara,1,t,NA,NA
25,Lara,1,b,11.29166667,13
25,Lara,1,b,11.29166667,12
25,Lara,2,t,NA,NA
25,Lara,2,b,17.29166667,20
25,Lara,2,b,22.29166667,NA
25,Lara,2,b,12.29166667,14
25,Lara,3,t,10.29166667,12
25,Lara,3,b,9.291666667,11
25,Lara,4,t,10.29166667,NA
25,Lara,4,b,9.291666667,11
25,Lara,4,b,11.29166667,13
25,Lara,4,b,11.29166667,14
25,Lara,5,t,19.29166667,25
25,Lara,5,b,11.29166667,15
25,Lara,5,b,11.29166667,13
25,Lara,5,b,11.29166667,12
25,Lara,1,t,12.29166667,15
25,Lara,1,b,13.29166667,16
25,Lara,2,t,15.29166667,17
25,Lara,3,t,11.29166667,13
25,Lara,3,b,11.29166667,13
25,Lara,4,t,NA,NA
25,Lara,5,t,12.29166667,NA
5,Serr,1,t,NA,NA
5,Serr,1,b,NA,NA
5,Serr,1,b,NA,NA
5,Serr,1,b,NA,NA
5,Serr,1,b,NA,156
5,Serr,2,t,NA,NA
5,Serr,2,b,NA,NA
5,Serr,2,b,NA,NA
5,Serr,2,b,NA,209
5,Serr,3,t,NA,143
5,Serr,3,b,NA,NA
5,Serr,3,b,NA,NA
5,Serr,3,b,NA,143
5,Serr,4,t,NA,NA
5,Serr,4,b,NA,178
5,Serr,4,b,NA,NA
5,Serr,1,t,NA,NA
5,Serr,2,t,NA,NA
5,Serr,3,t,NA,NA
5,Serr,4,t,NA,NA
5,Serr,1,t,NA,NA
5,Serr,2,t,NA,NA
5,Serr,3,t,NA,224
5,Serr,4,t,NA,NA
10,Serr,1,t,NA,NA
10,Serr,1,b,NA,NA
10,Serr,1,b,NA,NA
10,Serr,1,b,60.29166667,NA
10,Serr,2,t,NA,NA
10,Serr,2,b,51.29166667,NA
10,Serr,2,b,NA,NA
10,Serr,2,b,NA,NA
10,Serr,3,t,NA,NA
10,Serr,3,b,51.29166667,NA
10,Serr,3,b,51.29166667,NA
10,Serr,3,b,51.29166667,NA
10,Serr,3,b,51.29166667,NA
10,Serr,3,b,51.29166667,NA
10,Serr,3,b,51.29166667,86
10,Serr,4,t,51.29166667,NA
10,Serr,4,b,62.29166667,NA
10,Serr,4,b,60.29166667,NA
10,Serr,1,t,NA,NA
10,Serr,1,b,NA,NA
10,Serr,2,t,NA,NA
10,Serr,3,t,NA,NA
10,Serr,4,t,62.29166667,NA
10,Serr,4,b,51.29166667,109
15,Serr,1,t,23.29166667,NA
15,Serr,1,b,NA,NA
15,Serr,2,t,20.29166667,NA
15,Serr,2,b,50.29166667,NA
15,Serr,2,b,23.29166667,NA
15,Serr,2,b,50.29166667,NA
15,Serr,2,b,NA,39
15,Serr,3,t,20.29166667,32
15,Serr,3,b,23.29166667,NA
15,Serr,3,b,23.29166667,NA
15,Serr,3,b,23.29166667,NA
15,Serr,3,b,23.29166667,NA
15,Serr,3,b,50.29166667,NA
15,Serr,3,b,23.29166667,30
15,Serr,4,t,NA,NA
15,Serr,4,b,51.29166667,NA
15,Serr,4,b,20.29166667,26
15,Serr,1,t,NA,NA
15,Serr,1,b,38.29166667,NA
15,Serr,2,t,NA,NA
15,Serr,2,b,NA,NA
15,Serr,3,t,NA,NA
15,Serr,3,b,NA,NA
15,Serr,4,t,NA,NA
20,Serr,1,t,NA,NA
20,Serr,1,b,27.29166667,NA
20,Serr,2,t,NA,NA
20,Serr,2,b,NA,NA
20,Serr,2,b,NA,NA
20,Serr,3,t,NA,NA
20,Serr,3,b,NA,NA
20,Serr,3,b,NA,NA
20,Serr,3,b,NA,NA
20,Serr,3,b,NA,NA
20,Serr,3,b,18.29166667,23
20,Serr,4,t,NA,NA
20,Serr,4,b,27.29166667,NA
20,Serr,4,b,15.29166667,18
20,Serr,1,t,27.29166667,32
20,Serr,1,b,18.29166667,NA
20,Serr,1,b,24.29166667,27
20,Serr,2,t,NA,NA
20,Serr,2,b,NA,NA
20,Serr,3,t,NA,NA
20,Serr,3,b,NA,NA
20,Serr,3,b,18.29166667,22
20,Serr,4,t,20.29166667,27
20,Serr,4,b,27.29166667,NA
25,Serr,1,t,49.29166667,51
25,Serr,1,b,20.29166667,30
25,Serr,1,b,NA,NA
25,Serr,1,b,13.29166667,17
25,Serr,2,t,20.29166667,23
25,Serr,2,b,NA,NA
25,Serr,2,b,NA,NA
25,Serr,2,b,NA,NA
25,Serr,2,b,NA,NA
25,Serr,2,b,15.29166667,17
25,Serr,3,t,NA,NA
25,Serr,3,b,19.29166667,23
25,Serr,3,b,20.29166667,NA
25,Serr,3,b,10.29166667,12
25,Serr,4,t,13.29166667,16
25,Serr,4,b,34.29166667,NA
25,Serr,4,b,33.29166667,36
25,Serr,4,b,33.29166667,NA
25,Serr,4,b,NA,NA
25,Serr,1,t,NA,NA
25,Serr,2,t,NA,NA
25,Serr,3,t,NA,NA
25,Serr,4,t,NA,NA
25,Serr,4,b,10.29166667,13
